dataset,method,seed,mean_acc,worst_acc,test_env_accs,test_env_losses,num_classes,epochs,weight_entropy_curve,weight_max_curve,weight_min_curve
colored_mnist,rex,0,0.916,0.916,[0.916],[0.24190965452194213],2,5,"[1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408]"
colored_mnist,rex,1,0.9062,0.9062,[0.9062],[0.25620703349113466],2,5,"[1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408]"
colored_mnist,rex,2,0.9142,0.9142,[0.9142],[0.2568751809597015],2,5,"[1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408]"
colored_mnist,rex,3,0.9144,0.9144,[0.9144],[0.24459714241027833],2,5,"[1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408]"
colored_mnist,rex,4,0.8962,0.8962,[0.8962],[0.2799975930213928],2,5,"[1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408]"
colored_mnist,irm,0,0.8978,0.8978,[0.8978],[0.2810883991718292],2,5,"[1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408]"
colored_mnist,irm,1,0.8658,0.8658,[0.8658],[0.35870811734199526],2,5,"[1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408]"
colored_mnist,irm,2,0.8796,0.8796,[0.8796],[0.3489217234134674],2,5,"[1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408]"
colored_mnist,irm,3,0.8838,0.8838,[0.8838],[0.31314997572898867],2,5,"[1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408]"
colored_mnist,irm,4,0.8846,0.8846,[0.8846],[0.31339540166854857],2,5,"[1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408]"
colored_mnist,coral,0,0.9164,0.9164,[0.9164],[0.240003928565979],2,5,"[1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408]"
colored_mnist,coral,1,0.9068,0.9068,[0.9068],[0.2513991599082947],2,5,"[1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408]"
colored_mnist,coral,2,0.9096,0.9096,[0.9096],[0.2659728199005127],2,5,"[1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408]"
colored_mnist,coral,3,0.9122,0.9122,[0.9122],[0.244165403175354],2,5,"[1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408]"
colored_mnist,coral,4,0.8954,0.8954,[0.8954],[0.28350204601287843],2,5,"[1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408]"
colored_mnist,ipdr,0,0.9074,0.9074,[0.9074],[0.2624076862573624],2,5,"[0.8978961362288549, 0.9747981360325446, 1.0210987719205709, 1.0476352755840008, 1.0631592136162977]","[0.5743066679972869, 0.5204429133580282, 0.46628586374796355, 0.44479132615602934, 0.43637721928266376]","[0.12624482824825323, 0.1552018144956002, 0.19276573021824545, 0.22896513629418153, 0.2491554357111454]"
colored_mnist,ipdr,1,0.917,0.917,[0.917],[0.23217546663284302],2,5,"[0.8832324514022241, 0.9771326046723586, 1.0261375239262214, 1.0549756242678716, 1.0605559303210332]","[0.6046227457431647, 0.5315074301682986, 0.48732006320586574, 0.444887434060757, 0.43683770642830777]","[0.13329457591932553, 0.17062840295525697, 0.20114178840930647, 0.23879629316238257, 0.24976087762759283]"
colored_mnist,ipdr,2,0.9084,0.9084,[0.9084],[0.2710759717941284],2,5,"[0.8924115231403937, 0.9830281436443329, 1.0323508840340834, 1.0620969258821928, 1.0764707051790678]","[0.5966765708648242, 0.5253554009474241, 0.4790316808682222, 0.4346073636641869, 0.41493930037205035]","[0.13082327951605505, 0.1857990717085508, 0.2196885272860527, 0.24989864172843787, 0.263038959640723]"
colored_mnist,ipdr,3,0.92,0.92,[0.92],[0.22263556003570556],2,5,"[0.8952880180799044, 0.9605701863765717, 1.0189939301747541, 1.0561241094882672, 1.066070726284614]","[0.5885693052640328, 0.5487994540196198, 0.4876405608195525, 0.44240363859213316, 0.4287193486323723]","[0.13296712204240835, 0.15597647371200415, 0.19511290181141633, 0.23410092466152632, 0.2587557859145678]"
colored_mnist,ipdr,4,0.8996,0.8996,[0.8996],[0.27553879356384275],2,5,"[0.8756460157724527, 0.9810093939304352, 1.036740066913458, 1.059725616986935, 1.0828966269126306]","[0.6179285186987656, 0.5271543768736032, 0.4668792589352681, 0.431289153603407, 0.3916241136881021]","[0.1313258380844043, 0.18522307735223037, 0.21201918847285783, 0.24852514668152884, 0.27298215604745424]"
colored_mnist,ipdr_inv,0,0.9196,0.9196,[0.9196],[0.23215386443138122],2,5,"[1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408]"
colored_mnist,ipdr_inv,1,0.9108,0.9108,[0.9108],[0.24683447279930115],2,5,"[1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408]"
colored_mnist,ipdr_inv,2,0.91,0.91,[0.91],[0.2736825494766235],2,5,"[1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408]"
colored_mnist,ipdr_inv,3,0.9118,0.9118,[0.9118],[0.24477008309364318],2,5,"[1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408]"
colored_mnist,ipdr_inv,4,0.8936,0.8936,[0.8936],[0.2876449606895447],2,5,"[1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408]"
colored_mnist,ipdr_no_ent,0,0.8628,0.8628,[0.8628],[0.36670011608600617],2,5,"[0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]"
colored_mnist,ipdr_no_ent,1,0.885,0.885,[0.885],[0.3117742269992828],2,5,"[0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]"
colored_mnist,ipdr_no_ent,2,0.9188,0.9188,[0.9188],[0.22814926595687865],2,5,"[0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]"
colored_mnist,ipdr_no_ent,3,0.9032,0.9032,[0.9032],[0.2680052945613861],2,5,"[0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]"
colored_mnist,ipdr_no_ent,4,0.9134,0.9134,[0.9134],[0.234788405418396],2,5,"[0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]"
colored_mnist,ipdr_no_inv,0,0.9036,0.9036,[0.9036],[0.2740265726327896],2,5,"[0.895759295958739, 0.9745509028434753, 1.0184219777584076, 1.0441569754710565, 1.0608015885719886]","[0.57571008342963, 0.5207749857352331, 0.46934388463313764, 0.4478735900842227, 0.4394834007208164]","[0.12545566683491835, 0.15566769270942762, 0.1901089818431781, 0.22560065612196922, 0.2457976177907907]"
colored_mnist,ipdr_no_inv,1,0.9102,0.9102,[0.9102],[0.24469919877052307],2,5,"[0.8802269811813648, 0.974498838186264, 1.023023898784931, 1.0507282798106854, 1.0572401949992547]","[0.6066826650729547, 0.5338229250449401, 0.49029657473930943, 0.452160317164201, 0.4424851020941368]","[0.13211474624963906, 0.1692278402356001, 0.19857328843611938, 0.2336709304497792, 0.2456153711447349]"
colored_mnist,ipdr_no_inv,2,0.9088,0.9088,[0.9088],[0.27634578642845153],2,5,"[0.88968760233659, 0.9806605898416959, 1.029561833693431, 1.0612436601748834, 1.0752176825816815]","[0.5985650041928658, 0.5267526106192515, 0.48177303144565, 0.43507623557861036, 0.41659631637426525]","[0.12975577608897135, 0.1845776945925676, 0.21696181136828202, 0.24845887434024078, 0.26044672441024047]"
colored_mnist,ipdr_no_inv,3,0.9172,0.9172,[0.9172],[0.2374595426797867],2,5,"[0.8930415373582107, 0.9587191091133997, 1.0166192857118754, 1.0548116060403676, 1.065338127888166]","[0.5901130735874176, 0.5502952004854496, 0.48941231117798734, 0.44354134798049927, 0.43121743546082425]","[0.1319826920158588, 0.1543353056678405, 0.19341423763678625, 0.2322263511327597, 0.257832303070105]"
colored_mnist,ipdr_no_inv,4,0.8926,0.8926,[0.8926],[0.294355824136734],2,5,"[0.8714248446317819, 0.9770727593165177, 1.0335672841622279, 1.0572042923707228, 1.0815419508860662]","[0.6207302946310777, 0.5306790356452649, 0.470234031860645, 0.4337108926131175, 0.39575014206079334]","[0.1298870649188757, 0.18324605805369523, 0.20924165271795714, 0.24653670421013466, 0.27024360860769564]"
colored_mnist,ipdr_dro_inv,0,0.9248,0.9248,[0.9248],[0.21992952499389648],2,5,"[1.0909130160625164, 1.0589983875934894, 1.0296998940981352, 1.007944079545828, 0.9933927838618939]","[0.3751688003540039, 0.4422033646932015, 0.4731995268509938, 0.4908753748123462, 0.49978446616576266]","[0.29042613219756347, 0.2178803842801314, 0.17997401780807054, 0.15765276035437217, 0.14403962974364942]"
colored_mnist,ipdr_dro_inv,1,0.9084,0.9084,[0.9084],[0.2510052893161774],2,5,"[1.0909624512378986, 1.058746113226964, 1.0295967551378102, 1.0067269274821649, 0.989684847685007]","[0.3776608441884701, 0.4564071928079312, 0.4960840917550601, 0.5217562065674708, 0.5407029757132897]","[0.29308321613531846, 0.22896454196709853, 0.1959958282800821, 0.1759693313103456, 0.16495156861268556]"
colored_mnist,ipdr_dro_inv,2,0.9082,0.9082,[0.9082],[0.2691107890129089],2,5,"[1.0900201568236718, 1.0579705375891466, 1.0285336283537059, 1.0063848678882306, 0.9939168233137864]","[0.3801123797893524, 0.45628758462575764, 0.49882215834580934, 0.5268836709169241, 0.5404580166706672]","[0.2897505439244784, 0.22661458758207467, 0.19658419891045645, 0.18095045937941626, 0.17242357937189248]"
colored_mnist,ipdr_dro_inv,3,0.9172,0.9172,[0.9172],[0.23572257001399993],2,5,"[1.0914158270909236, 1.05850815314513, 1.0220879728977497, 0.9959073525208694, 0.9788502317208511]","[0.3751403299661783, 0.45143995147485, 0.5010945384319012, 0.5306753562046931, 0.5461006370874552]","[0.2929290303817162, 0.22393308465297407, 0.18560958539064115, 0.1656859196149386, 0.15289669254651436]"
colored_mnist,ipdr_dro_inv,4,0.9042,0.9042,[0.9042],[0.2634542963504791],2,5,"[1.0903611870912404, 1.0561704819019024, 1.025169734771435, 1.0093749303084154, 1.0016383689183455]","[0.38049734097260696, 0.462169444331756, 0.5055001171735617, 0.5226326951613793, 0.53028492973401]","[0.2930188694825539, 0.22789296565147546, 0.19642408593342855, 0.18197413247365218, 0.17535146039265853]"
colored_mnist,ipdr_inv_cov,0,0.9174,0.9174,[0.9174],[0.2406926371574402],2,5,"[1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408]"
colored_mnist,ipdr_inv_cov,1,0.911,0.911,[0.911],[0.244499990940094],2,5,"[1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408]"
colored_mnist,ipdr_inv_cov,2,0.913,0.913,[0.913],[0.26319036469459534],2,5,"[1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408]"
colored_mnist,ipdr_inv_cov,3,0.9098,0.9098,[0.9098],[0.24886349582672118],2,5,"[1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408]"
colored_mnist,ipdr_inv_cov,4,0.891,0.891,[0.891],[0.289031914973259],2,5,"[1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408]"
rotated_mnist,erm,0,0.6045,0.4592,"[0.7498, 0.4592]","[0.798072200679779, 1.949085693359375]",10,5,"[1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408]"
rotated_mnist,erm,1,0.6125,0.4736,"[0.7514, 0.4736]","[0.7702450626373291, 1.8253696123123169]",10,5,"[1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408]"
rotated_mnist,erm,2,0.6214,0.4804,"[0.7624, 0.4804]","[0.7610472608566284, 1.790823906135559]",10,5,"[1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408]"
rotated_mnist,erm,3,0.6122,0.4642,"[0.7602, 0.4642]","[0.762537288570404, 1.8684924640655518]",10,5,"[1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408]"
rotated_mnist,erm,4,0.6212,0.4794,"[0.763, 0.4794]","[0.7416828895568848, 1.8041807264328003]",10,5,"[1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408]"
rotated_mnist,groupdro,0,0.632,0.4902,"[0.7738, 0.4902]","[0.719630055809021, 1.8014054382324218]",10,5,"[1.0981576075920692, 1.0891124651982234, 1.0739148396712084, 1.0530305963296156, 1.0396919708985548]","[0.34081186468784624, 0.3779590737361174, 0.4133414454185046, 0.4486682048210731, 0.4646514230049573]","[0.32366130214471084, 0.27378368148436916, 0.23787554181539095, 0.207858481659339, 0.19165988151843733]"
rotated_mnist,groupdro,1,0.6301,0.4952,"[0.765, 0.4952]","[0.7234256484985352, 1.727441633605957]",10,5,"[1.0980506814443147, 1.0862966363246624, 1.0596443643936744, 1.0308561187524061, 1.0097227623829474]","[0.3416379059736545, 0.3825214081085645, 0.41787318082956165, 0.4458748297049449, 0.4572112743671124]","[0.32287923647807193, 0.26566258989847624, 0.20975117213450944, 0.17284107494812745, 0.15045049270758262]"
rotated_mnist,groupdro,2,0.6463,0.5104,"[0.7822, 0.5104]","[0.7001911860466004, 1.6685235843658448]",10,5,"[1.097706478375655, 1.0863726093218877, 1.0633551065738385, 1.0382116024310772, 1.0207509719408476]","[0.34245017629403335, 0.37618133884209853, 0.40099385609993565, 0.4275620006597959, 0.4473022921727254]","[0.31864064702620876, 0.2638220408788094, 0.2138493605531179, 0.17921274671187767, 0.16082171923839128]"
rotated_mnist,groupdro,3,0.6294,0.4812,"[0.7776, 0.4812]","[0.7042747175216675, 1.7586436086654662]",10,5,"[1.0977728275152354, 1.0851301963512714, 1.0623160600662231, 1.0420613518128028, 1.024115732082954]","[0.34433801816059995, 0.39119969193751997, 0.4312621125808129, 0.4560198233677791, 0.46828654866952163]","[0.32046796725346494, 0.26377598024331605, 0.21899840636895254, 0.19169901655270502, 0.16982819369206062]"
rotated_mnist,groupdro,4,0.6456999999999999,0.5074,"[0.784, 0.5074]","[0.6753838478088379, 1.6701354789733887]",10,5,"[1.0977385961092436, 1.0878432072125948, 1.0675310354966383, 1.0501117935547462, 1.031015240229093]","[0.34424907312943387, 0.37402736911406886, 0.4018418960846387, 0.41968546922390276, 0.44497129091849696]","[0.32005609571933746, 0.26803620847371906, 0.2212128249498514, 0.1945036334487108, 0.17258784518792078]"
rotated_mnist,rex,0,0.611,0.4662,"[0.7558, 0.4662]","[0.7819064199447632, 1.9112362522125244]",10,5,"[1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408]"
rotated_mnist,rex,1,0.6182,0.4802,"[0.7562, 0.4802]","[0.7556049565315247, 1.7932103088378906]",10,5,"[1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408]"
rotated_mnist,rex,2,0.6261,0.486,"[0.7662, 0.486]","[0.7498726241111755, 1.7688104454040527]",10,5,"[1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408]"
rotated_mnist,rex,3,0.6168,0.4684,"[0.7652, 0.4684]","[0.747221051311493, 1.839277672958374]",10,5,"[1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408]"
rotated_mnist,rex,4,0.6246,0.4832,"[0.766, 0.4832]","[0.7301215205192566, 1.771178419494629]",10,5,"[1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973, 1.0986123085021973]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408]","[0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408]"
